57,1398,1398,1398,1398,61,1,62,72121,1398,73519,443,49540
499,819,577,1398,536,2,1,3,1318,577,1895,80,49568
610,1398,2,1398,1398,2,7,9,2008,5770,7778,80,49571
533,837,1398,1398,1398,22,1,23,20783,853,21636,443,49566
612,1398,1398,186,619,2,3,5,2010,2203,4213,80,49585
474,1398,1398,1398,1398,2,9,11,1872,10892,12764,80,49582
757,517,1398,1398,473,18,1,19,14125,517,14642,443,49586
661,1398,719,1397,1397,12,70,82,8336,97282,105618,443,49577
607,1164,585,1398,596,2,1,3,1771,585,2356,80,49584
558,1398,849,527,480,2,2,4,1956,1376,3332,80,49578
472,1398,1398,1398,1398,2,11,13,1870,13979,15849,80,49567
549,533,581,1397,1397,11,1,12,5821,1397,7218,443,49601
533,1397,1397,1397,1397,25,1,26,24965,1397,26362,443,49598
501,1397,1397,1397,1397,24,1,25,23584,1397,24981,443,49599
1037,1398,1398,1398,1398,2,7,9,2435,7500,9935,80,49597
767,934,5,779,923,2,2,4,1701,784,2485,80,49617
551,1410,1410,1410,1410,2,23,25,1961,31110,33071,80,49619
549,789,1398,1398,1398,69,1,70,85555,789,86344,443,49594
1398,1398,745,549,789,14,1,15,9007,789,9796,443,49596
565,405,1410,1410,577,18,1,19,12582,53,12635,443,49573
533,421,1109,53,53,16,1,17,10278,53,10331,443,49572
661,645,693,1397,773,10,1,11,5949,1397,7346,443,49631
472,817,489,1410,1410,2,1,3,1289,489,1778,80,49628
509,1398,1398,1398,1398,2,38,40,1907,52297,54204,80,49609
661,645,693,1397,773,11,1,12,6018,1397,7415,443,49641
629,485,1398,1398,1398,18,1,19,13954,69,14023,443,49607
101,597,501,1398,1398,14,37,51,9251,48839,58090,443,49627
101,597,501,1398,1398,13,37,50,8566,49722,58288,443,49626
1189,1398,479,1189,1398,13,1,14,9036,1398,10434,443,49652
853,1398,1398,1398,1398,19,1,20,16631,85,16716,443,49592
1189,1398,815,1189,1398,13,1,14,9372,1398,10770,443,49654
1189,1398,975,1205,1398,13,1,14,9548,1398,10946,443,49650
1045,1398,1398,1398,1398,17,1,18,14215,1398,15613,443,49649
1189,1398,831,1189,1398,13,1,14,9388,1398,10786,443,49656
1205,1398,895,1205,687,13,1,14,9484,687,10171,443,49651
645,933,69,661,725,12,1,13,5841,725,6566,443,49639
1398,1398,1398,1398,1398,65,1,66,82209,1398,83607,443,49659
645,933,69,661,725,12,1,13,5841,725,6566,443,49645
1398,1398,1398,1398,1398,14,1,15,13767,1398,15165,443,49657
1398,1398,1398,1398,1398,20,1,21,21848,1398,23246,443,49658
276,1398,1231,1398,1398,14,1,15,9526,53,9579,443,49637
276,1398,1231,1398,1398,20,1,21,18677,53,18730,443,49638
276,1398,1231,1398,1398,14,1,15,11190,53,11243,443,49636
276,1398,1231,1398,1398,14,1,15,9542,53,9595,443,49635
1039,1398,1398,1398,1398,2,44,46,2437,60605,63042,80,49644
550,312,551,312,553,2,1,3,862,551,1413,80,49660
505,1398,1398,1398,1398,2,6,8,1903,6935,8838,80,49667
1189,1398,1398,1398,1398,22,1,23,21037,85,21122,443,49647
1189,1398,1398,1398,1398,18,1,19,15485,85,15570,443,49648
1184,1398,1398,364,1302,2,3,5,2582,3064,5646,80,49668
57,45,1371,1398,1240,49,2,51,56014,148,56162,443,49666
522,1398,1398,1398,1398,2,12,14,1920,14538,16458,80,49675
549,1398,1267,546,1398,2,2,4,1947,1813,3760,80,49678
524,1288,1288,1288,1288,2,20,22,1812,24181,25993,80,49676
531,1398,1398,1193,544,2,3,5,1929,3135,5064,80,49686
543,1398,1398,1398,1398,2,39,41,1941,52863,54804,80,49685
546,1398,1398,1398,1398,2,116,118,1944,161028,162972,80,49684
502,1398,1398,1398,1398,2,11,13,1900,13365,15265,80,49679
565,597,517,1397,1397,11,1,12,5839,1397,7236,443,49687
581,1397,1397,1397,581,14,1,15,10844,1397,12241,443,49688
510,755,722,374,1398,2,1,3,1265,722,1987,80,49689
1397,1397,1397,1397,1397,21,1,22,23294,1397,24691,443,49693
831,894,832,248,823,2,1,3,1725,832,2557,80,49690
507,1398,1398,645,533,2,3,5,1905,2576,4481,80,49703
650,1398,1398,1398,1398,38,1,39,44738,1398,46136,443,49700
650,1398,1398,1398,1398,19,1,20,18585,1397,19982,443,49701
510,1398,591,490,1398,2,2,4,1908,1081,2989,80,49692
581,469,1398,1398,1001,15,1,16,10546,69,10615,443,49698
869,1288,1288,1288,1288,20,1,21,16647,85,16732,443,49699
1125,1398,383,1125,1398,13,1,14,8812,1398,10210,443,49733
965,1398,1398,1398,1398,16,1,17,13559,1398,14957,443,49736
965,1398,1398,537,949,14,1,15,10023,1398,11421,443,49735
965,1398,1398,1398,1379,15,2,17,12263,2363,14626,443,49734
1398,1398,1398,1398,1398,14,1,15,13084,1398,14482,443,49746
949,1398,1398,1398,1398,13,2,15,10534,1898,12432,443,49748
1398,1398,531,965,1398,10,1,11,7196,1398,8594,443,49747
575,1109,1398,1071,1141,9,2,11,6135,2212,8347,443,49737
1093,789,133,69,69,12,1,13,5659,69,5728,443,49717
1093,789,133,69,69,12,1,13,5659,69,5728,443,49718
463,1141,1398,1311,1141,9,2,11,6055,2452,8507,443,49739
959,1141,1398,1398,57,9,3,12,6519,2596,9115,443,49738
1109,1398,1398,1398,1398,20,1,21,18493,85,18578,443,49745
276,1398,1231,1398,1398,20,1,21,18933,53,18986,443,49727
276,1398,1231,1398,1398,14,1,15,9382,53,9435,443,49726
276,1398,1231,1398,1398,21,1,22,16460,53,16513,443,49730
276,1398,1231,1398,1398,24,1,25,22650,53,22703,443,49729
276,1398,1231,1398,1398,20,1,21,18933,53,18986,443,49728
479,1141,1398,1398,713,9,3,12,6055,2196,8251,443,49740
1141,1398,1398,1398,1398,19,1,20,16265,85,16350,443,49743
1141,1398,1398,1398,1398,20,1,21,18057,85,18142,443,49744
1141,1398,1398,1398,1398,23,1,24,21897,85,21982,443,49753
1141,1398,1398,1398,1398,21,1,22,19513,85,19598,443,49741
1125,1398,1398,1398,1398,22,1,23,20169,85,20254,443,49742
57,1398,1398,1398,1398,47,1,48,54171,45,54216,443,49542
247,1398,1398,1398,1398,54,1,55,66543,1398,67941,443,49759
1398,1398,1398,1398,1398,24,1,25,26980,1398,28378,443,49758
57,1398,1398,1398,1398,50,2,52,58875,1443,60318,443,49761
57,813,1398,1398,1398,9,26,35,6251,34333,40584,443,49766
526,1398,1398,1398,1398,2,11,13,1924,14548,16472,80,49770
562,1398,1398,1398,1398,2,16,18,1960,21460,23420,80,49776
576,951,577,908,537,2,1,3,1527,577,2104,80,49773
562,1398,1398,1398,1398,2,5,7,1960,5101,7061,80,49775
584,1398,1398,1398,1398,2,65,67,1982,89099,91081,80,49774
564,1150,538,1398,252,2,1,3,1714,538,2252,80,49777
487,1398,708,613,608,2,2,4,1885,1321,3206,80,49772
768,1398,1398,1398,1398,2,6,8,2166,6802,8968,80,49778
567,233,1215,967,529,2,3,5,800,2711,3511,80,49786
491,426,1398,1398,1398,2,8,10,917,8865,9782,80,49792
